DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN.x,ING,REC,CAR,SEC,I_HOGAR
7881082,1,1,1,1,0,0,1,650000
7872016,1,1,1,1,0,0,1,2191666.6667
7858742,1,1,1,1,0,0,0,654166.66667
7850962,1,1,1,1,0,0,1,790000
7820321,1,1,1,1,0,0,0,1133333.3333
7837102,1,1,1,1,0,0,1,1170000
7908271,1,1,1,1,0,0,1,983333.33333
7828172,1,1,1,1,0,0,1,600000
7792821,1,1,1,1,0,0,1,1231166.6667
7798758,1,1,1,1,0,0,1,1210000
7792476,1,1,1,1,0,0,1,1120000
7866533,1,1,1,1,0,0,1,820000
7801975,1,1,1,1,0,1,1,3900000
7872420,1,1,1,1,0,0,1,900000
7870083,1,1,1,1,1,0,1,405000
7861405,1,1,1,1,1,0,0,780000
7885487,1,1,1,1,0,0,1,1266666.6667
7896601,1,1,1,1,0,0,1,1633333.3333
7820675,1,1,1,1,0,0,1,1068333.3333
7885873,1,1,1,1,0,0,1,1235000
7822809,1,1,1,1,0,0,1,1370000
7834383,1,1,1,1,0,0,1,1686666.6667
7792990,1,1,1,1,0,0,0,1336000
7904610,1,1,1,1,0,0,1,600000
7870643,1,1,1,1,0,0,1,566000
7860160,1,1,1,1,0,0,1,915000
7828392,1,1,1,1,0,0,0,970000
7875722,1,1,1,1,0,0,1,1443333.3333
7812833,1,1,1,1,0,0,1,1451666.6667
7885618,1,1,1,1,0,0,1,1681666.6667
7793361,1,1,1,1,0,0,1,900000
7832226,1,1,1,1,0,0,1,250000
7823771,1,1,1,1,0,0,1,1330000
7886550,1,1,1,1,0,0,1,1545000
7882544,1,1,1,1,0,0,1,800000
7848825,1,1,1,1,0,0,0,970000
7907222,1,1,1,1,0,0,1,775000
7866799,1,1,1,1,0,0,1,532000
7860934,1,1,1,1,0,0,1,1622500
7796780,1,1,1,1,1,0,1,1358666.6667
7863506,1,1,1,1,0,0,1,2240000
7788009,1,1,1,1,0,0,0,1965000
7806636,1,1,1,1,0,0,1,950000
7861658,1,1,1,1,0,0,0,1000000
7866537,1,1,1,1,0,0,1,842500
7822275,1,1,1,1,0,0,1,2096666.6667
7874893,1,1,1,1,0,0,1,1135000
7857521,1,1,1,1,0,0,1,553333.33333
7855912,1,1,1,1,0,0,1,800000
7796059,1,1,1,1,0,0,0,330000
7817662,1,1,1,1,0,0,1,1147500
7881573,1,1,1,1,0,0,1,1897000
7807136,1,1,1,1,0,0,1,1791666.6667
7825002,1,1,1,1,0,0,1,2000000
7819880,1,1,1,1,0,0,0,235000
7856653,1,1,1,1,0,0,1,483333.33333
7844688,1,1,1,1,0,0,1,605000
7839064,1,1,1,1,0,0,1,655000
7827685,1,1,1,1,0,0,1,1500000
7787969,1,1,1,1,0,0,0,1480000
7871878,1,1,1,1,0,0,1,1550000
7816377,1,1,1,1,0,0,0,700000
7813472,1,1,1,1,0,0,1,1110000
7866743,1,1,1,1,0,0,1,800000
7904016,1,1,1,1,0,0,1,557500
7823086,1,1,1,1,0,0,1,2465000
7866780,1,1,1,1,0,0,1,1570833.3333
7867890,1,1,1,1,0,0,1,1150000
7874465,1,1,1,1,0,0,1,2288838.6667
7898254,1,1,1,1,0,0,1,1056666.6667
7890930,1,1,1,1,0,0,1,300000
7860816,1,1,1,1,1,0,1,700000
7859960,1,1,1,1,0,0,1,2834000
7900202,1,1,1,1,0,0,1,1060000
7804429,1,1,1,1,0,0,1,1398666.6667
7855931,1,1,1,1,0,0,1,650000
7858928,1,1,1,1,0,0,1,502916.66667
7855387,1,1,1,1,0,0,0,1450000
7885918,1,1,1,1,0,0,1,3500000
7820869,1,1,1,1,0,0,1,225000
7864536,1,1,1,1,0,0,0,335000
7853604,1,1,1,1,0,0,1,91666.666667
7885112,1,1,1,1,0,0,1,1050000
7867189,1,1,1,1,0,0,1,1067500
