"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","ING","REC","CAR","SEC","I_HOGAR"
"35821","7839925","1","1","1",2,0,0,1,720000
"35822","7839926","1","1","1",1,0,0,1,733333.33333
"35823","7839927","1","1","1",2,0,0,1,3810000
"35824","7839929","1","1","1",2,0,1,1,2283333.3333
"35825","7839930","1","1","1",1,0,0,1,4003333.3333
"35826","7839932","1","1","1",3,1,0,1,1233333.3333
"35827","7839933","1","1","1",2,0,0,1,315000
"35828","7839934","1","1","1",2,0,0,1,5758333.3333
"35829","7839936","1","1","1",2,0,0,1,1150000
"35830","7839937","1","1","1",2,0,0,1,1350000
"35831","7839938","1","1","1",2,0,0,1,1950000
"35832","7839939","1","1","1",2,0,0,1,8e+05
"35833","7839940","1","1","1",1,0,0,1,1016666.6667
"35834","7839941","1","1","1",1,0,0,1,1380000
"35835","7839942","1","1","1",1,0,0,1,1140000
"35836","7839943","1","1","1",2,0,0,1,2230000
"35837","7839944","1","1","1",1,0,0,1,1700000
"35838","7839945","1","1","1",1,0,0,1,150000
"35839","7839946","1","1","1",2,0,0,1,1277333.3333
"35840","7839947","1","1","1",2,0,0,1,573333.33333
"35841","7839948","1","1","1",2,0,0,1,1312000
"35842","7839949","1","1","1",1,0,0,0,288333.33333
"35843","7839950","1","1","1",2,0,0,0,1451666.6667
"35844","7839951","1","1","1",2,0,0,1,5191666.6667
"35845","7839952","1","1","1",2,0,0,1,1552500
"35846","7839953","1","1","1",2,0,0,1,2100000
"35847","7839956","1","1","1",2,0,0,1,1e+06
"35848","7839959","1","1","1",1,0,0,0,275000
"35849","7839961","1","1","1",1,0,0,1,6e+05
"35850","7839962","1","1","1",1,0,0,1,1e+06
"35851","7839965","1","1","1",2,0,0,1,1600000
"35852","7839966","1","1","1",1,0,0,1,783333.33333
"35853","7839967","1","1","1",2,0,0,1,1690000
"35854","7839969","1","1","1",2,0,0,0,2616666.6667
"35855","7839970","1","1","1",1,0,0,1,1910000
"35856","7839971","1","1","1",1,0,0,1,1400000
"35857","7839972","1","1","1",1,0,0,1,650000
"35858","7839973","1","1","1",2,0,0,1,2310000
"35859","7839974","1","1","1",1,0,0,1,7e+05
"35860","7839975","1","1","1",1,0,0,1,1133333.3333
"35861","7839976","1","1","1",2,0,0,1,2200000
"35862","7839978","1","1","1",2,0,0,1,762500
"35863","7839979","1","1","1",2,0,0,1,1700000
"35864","7839980","1","1","1",2,0,0,1,1090000
"35865","7839981","1","1","1",1,0,0,1,573333.33333
"35866","7839982","1","1","1",2,0,0,1,4701666.6667
"35867","7839983","1","1","1",1,0,0,1,2e+06
"35868","7839985","1","1","1",1,0,0,1,1300000
"35869","7839986","1","1","1",3,0,0,0,7e+05
"35870","7839987","1","1","1",1,0,0,1,3e+05
"35871","7839988","1","1","1",2,0,0,1,1052500
"35872","7839989","1","1","1",2,1,0,1,1746666.6667
"35873","7839990","1","1","1",2,0,0,1,2056666.6667
"35874","7839991","1","1","1",1,1,0,1,350000
"35875","7839992","1","1","1",1,0,0,1,1e+05
"35876","7839993","1","1","1",2,0,0,1,9e+05
"35877","7839994","1","1","1",1,0,0,0,4950000
"35878","7839995","1","1","1",2,0,1,1,8525000
"35879","7839996","1","1","1",2,0,0,0,1425000
"35880","7839997","1","1","1",2,0,0,1,2975000
"35881","7839998","1","1","1",1,0,0,1,381666.66667
"35882","7839999","1","1","1",2,0,0,1,1700000
"35883","7840000","1","1","1",2,0,0,1,8e+05
"35884","7840002","1","1","1",2,0,0,1,666666.66667
"35885","7840003","1","1","1",1,1,0,1,646666.66667
"35886","7840004","1","1","1",1,0,0,1,6e+05
"35887","7840005","1","1","1",2,0,0,1,680000
"35888","7840007","1","1","1",1,0,0,1,80000
"35889","7840008","1","1","1",1,0,0,1,650000
"35890","7840009","1","1","1",2,0,0,1,340000
"35891","7840010","1","1","1",2,0,0,1,1e+05
"35892","7840011","1","1","1",2,0,0,0,6600000
"35893","7840012","1","1","1",1,0,0,0,1457500
"35894","7840013","1","1","1",2,0,0,1,2800000
"35895","7840014","1","1","1",2,0,0,1,1800000
"35896","7840015","1","1","1",2,0,0,1,1300000
"35897","7840016","1","1","1",1,0,0,1,526666.66667
"35898","7840017","1","1","1",2,0,0,1,255000
"35899","7840018","1","1","1",1,0,0,1,650000
"35900","7840019","1","1","1",1,0,0,1,7e+05
"35901","7840020","1","1","1",1,0,0,1,450000
"35902","7840021","1","1","1",2,0,0,1,4500000
"35903","7840022","1","1","1",1,0,0,1,9e+05
"35904","7840023","1","1","1",1,1,0,1,886666.66667
"35905","7840024","1","1","1",1,0,0,1,5e+05
"35906","7840025","1","1","1",1,0,0,1,250000
"35907","7840026","1","1","1",1,0,0,1,1158000
"35908","7840028","1","1","1",2,0,0,0,2500000
"35909","7840029","1","1","1",1,0,0,1,1600000
"35910","7840030","1","1","1",2,0,0,1,3454691.6667
"35911","7840031","1","1","1",3,1,1,1,6100000
"35912","7840032","1","1","1",1,0,0,1,1373333.3333
"35913","7840033","1","1","1",2,1,0,1,8986666.6667
"35914","7840034","1","1","1",1,0,0,1,137200000
"35915","7840035","1","1","1",1,1,0,1,240000
"35916","7840037","1","1","1",1,0,0,1,410000
"35917","7840039","1","1","1",1,0,0,1,1050000
"35918","7840040","1","1","1",1,1,0,1,310000
"35919","7840041","1","1","1",2,0,0,1,1220000
"35920","7840042","1","1","1",2,0,0,1,2441666.6667
"35921","7840043","1","1","1",1,0,0,1,8e+05
"35922","7840044","1","1","1",2,0,0,1,605000
"35923","7840045","1","1","1",1,1,0,1,1325000
"35924","7840046","1","1","1",2,0,0,1,3417000
"35925","7840048","1","1","1",2,0,1,1,6560000
"35926","7840049","1","1","1",1,1,0,1,845000
"35927","7840050","1","1","1",1,1,0,1,1658666.6667
"35928","7840051","1","1","1",2,0,0,1,1078333.3333
"35929","7840052","1","1","1",2,0,0,1,1935000
"35930","7840053","1","1","1",2,0,0,1,2445000
"35931","7840054","1","1","1",1,0,0,1,1200000
"35932","7840056","1","1","1",1,0,0,1,106666.66667
"35933","7840057","1","1","1",1,0,0,1,325000
"35934","7840058","1","1","1",1,0,0,1,625000
"35935","7840059","1","1","1",1,0,0,1,250000
"35936","7840060","1","1","1",2,0,0,1,1e+05
"35937","7840062","1","1","1",1,0,0,1,2e+05
"35938","7840063","1","1","1",2,0,0,1,120000
"35939","7840064","1","1","1",1,0,0,1,390000
"35940","7840065","1","1","1",1,0,0,1,381666.66667
"35941","7840066","1","1","1",2,0,0,1,716666.66667
"35942","7840067","1","1","1",2,0,0,1,1533333.3333
"35943","7840069","1","1","1",2,0,0,1,650000
"35944","7840070","1","1","1",1,0,0,1,676666.66667
"35945","7840071","1","1","1",2,0,0,1,1666666.6667
"35946","7840072","1","1","1",1,0,0,1,968333.33333
"35947","7840073","1","1","1",2,0,0,1,2013666.6667
"35948","7840074","1","1","1",2,0,0,1,3533333.3333
"35949","7840075","1","1","1",1,0,0,1,1320000
"35950","7840076","1","1","1",1,0,0,1,80000
"35951","7840079","1","1","1",2,0,0,1,1e+05
"35952","7840080","1","1","1",1,0,0,1,880000
"35953","7840081","1","1","1",1,0,0,1,5e+05
"35954","7840082","1","1","1",1,0,0,1,8e+05
"35955","7840084","1","1","1",1,0,0,1,725000
"35956","7840085","1","1","1",1,0,0,0,1690000
"35957","7840086","1","1","1",1,0,0,1,180000
"35958","7840087","1","1","1",1,0,0,0,1045000
"35959","7840088","1","1","1",2,0,0,1,208333.33333
"35960","7840089","1","1","1",2,0,0,1,5e+06
"35961","7840090","1","1","1",1,0,0,1,1210000
"35962","7840091","1","1","1",2,0,0,1,1115000
"35963","7840092","1","1","1",1,0,0,1,4e+05
"35964","7840093","1","1","1",2,0,1,1,1866666.6667
"35965","7840094","1","1","1",2,1,0,1,2900000
"35966","7840095","1","1","1",2,0,0,1,333333.33333
"35967","7840096","1","1","1",3,0,0,1,7358333.3333
"35968","7840097","1","1","1",1,0,0,0,2784166.6667
"35969","7840098","1","1","1",1,0,0,0,1e+05
"35970","7840100","1","1","1",1,0,0,1,746666.66667
"35971","7840101","1","1","1",2,0,0,1,7e+05
"35972","7840102","1","1","1",1,0,0,1,985000
"35973","7840103","1","1","1",1,0,0,1,2050833.3333
"35974","7840104","1","1","1",1,0,0,1,2533833.3333
